regularMarketDayHigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
navPrice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
averageDailyVolume10Day,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
regularMarketPreviousClose,88.3965,67.2629,105.314,51.7211,46.88,25.2546,17.15,2306.58,74.2924,69.71,25.8331,23.047,2516.31,32.0474,24.5051,38.9597,18.9861,104.38,42.25,162.71,113.47,81.343,36.58,19.8081,20.0917,2269.21,65.3274,271.037,25.586,19.6718,49.014,51.4226,25.3441,29.7992,59.56,26.0241,61.96,19.5667,25.8845,35.9224,35.3974,23.1327,56.5603,29.3443,29.4443,60.99,28.2796,77.14,29.75,44.1443,25.7459,44.0293,46.88,23.1157,21.6141,60.7184,15.8404,93.475,76.535,30.2,123.937,18.4786,47.559,3248.02,43.8079,44.404,39.44,50.0568,171.536,368.612,205.187,25.2079,74.1773,51.2195,58.3903,2822.47,42.2423,37.7409,26.3711,99.366,24.8293,44.9844,238.616
fiftyDayAverage,88.13761,67.29108,105.234116,51.233757,46.18457,25.310986,16.95,2301.7175,72.72113,67.108,25.768717,22.9838,2509.151,31.816925,24.440758,38.627796,18.521112,99.555145,41.46057,157.36885,110.19428,78.6266,35.99743,19.8194,20.048824,2264.8965,63.0623,272.302,25.590857,19.685057,49.150913,58.960777,25.355518,29.779179,88.17117,26.012976,62.00941,19.57055,25.89125,35.89788,35.303932,23.133389,57.144978,29.356106,29.459627,93.665,28.428024,77.764114,30.330294,44.12749,25.729553,44.082016,271.72278,23.121933,21.6162,60.69455,15.833682,94.32041,76.725204,30.31203,124.13221,18.48949,47.650738,3248.6218,43.81591,45.02663,39.69294,50.22788,254.68541,372.95078,205.6242,25.500853,74.74,51.226696,58.388863,2822.9941,42.24048,37.91821,26.382444,100.6134,26.916739,44.881607,239.75838
trailingAnnualDividendRate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toCurrency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
averageVolume10days,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
expireDate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
algorithm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dividendRate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exDividendDate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
circulatingSupply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
startDate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
regularMarketDayLow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
currency,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR
regularMarketVolume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lastMarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maxSupply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openInterest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marketCap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
volumeAllCurrencies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
strikePrice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
averageVolume,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dayLow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ask,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
askSize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
volume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fiftyTwoWeekHigh,86.6776,,104.061,49.517,44.92,24.9812,16.58,2277.15,69.3997,60.04,25.3863,22.4562,2469.36,31.4403,23.9888,37.8822,,88.37,39.94,144.83,104.9,70.695,34.74,19.553,19.7183,2241.45,57.0941,,25.2564,19.0237,46.319,55.4361,24.9621,29.1411,77.63,25.5732,59.77,19.5388,25.0959,35.2009,31.9394,22.7287,57.4496,29.4094,29.5209,77,26.8995,73.2,26.21,43.5567,25.0342,42.2931,57.515,22.7275,21.37,60.1723,,86.504,73.483,28.132,116.801,18.476,45.1394,3202.68,42.8485,40.2947,33.75,48.2931,209.09,291.136,157.329,26.1787,70.3133,51.3822,57.5306,2783.16,41.65,35.9567,26.1346,85.0276,26.1459,42.7372,224.731
fromCurrency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fiveYearAvgDividendYield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fiftyTwoWeekLow,77.0866,,91.1172,37.318,25.54,22.0474,11.97,2189.98,37.6463,32.91,22.7282,20.2315,2284.38,26.5298,22.1342,31.4491,,45.13,20.65,72.42,50.86,35.155,22.51,17.1781,17.5488,2167.67,27.6988,,22.42,17.0096,33.701,44.0087,22.2694,26.1475,39.94,23.0739,30.12,17.4017,22.6771,31.8679,16.9518,21.1998,51.4695,26.1228,26.1089,37.27,13.3083,36.14,13.78,39.2203,22.8117,32.1674,30.479,21.0046,20.1286,52.8103,,40.214,36.768,12.915,79.4583,16.6955,23.4673,3017.71,38.8124,20.1555,13.98,34.2153,105.419,125.973,64.1197,12.2119,53.5202,46.4342,51.1984,2587.84,36.9342,25.742,23.6177,41.26,20.8225,25.1434,110.411
bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tradeable,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
dividendYield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bidSize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dayHigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
regularMarketPrice,88.4633,67.3372,105.451,51.7244,46.92,25.276,17.16,2306.77,74.3636,69.7,25.8509,23.0604,2517.17,32.0942,24.5292,38.9565,18.9882,104.84,42.26,163.44,113.63,81.416,36.59,19.8299,20.0504,2269.4,65.2216,270.321,25.5851,19.6771,48.972,51.7018,25.3474,29.8019,61.8,26.0282,61.62,19.5644,25.886,35.9222,35.1115,23.1362,56.5463,29.3458,29.4462,62.23,28.1111,76.97,29.73,44.1346,25.7521,43.9847,47.48,23.1175,21.6156,60.7198,15.8075,93.318,76.317,30.105,123.668,18.4747,47.2607,3248.25,43.8035,44.5368,39.36,50.0968,171.736,368.529,204.58,25.066,74.1582,51.2291,58.3947,2823.01,42.2429,37.6691,26.3702,99.71,24.9962,44.827,238.028
logo_url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
